CLASS 2,EXPENSES,,,,,,,,,,,,,,,,,,
CLASS 3,ASSETS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sub-SubProgramme: Group of related interventions/outputs contributing to Programme,,,,,,,,,,,,,,,,,,,
Outcomes.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Department: Administrative units within the institutions that implement activities.,,,,,,,,,,,,,,,,,,,
Thousand Uganda Shillings,2021/22 Approved Estimates,,,,,,,,,,,,,,,,,,
Programme 18 Development Plan Implementation,,,,,,,,,,,,,,,,,,,
,GoU,External Fin,Total,,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
,"7,523,036",0,"7,523,036",,,,,,,,,,,,,,,,
Programme 15 Governance and Security,,,,,,,,,,,,,,,,,,,
,GoU,External Fin,Total,,,,,,,,,,,,,,,,
,"3,944,765",0,"3,944,765",,,,,,,,,,,,,,,,
,"49,005,165",0,"49,005,165",,,,,,,,,,,,,,,,
,"10,036,154",0,"10,036,154",,,,,,,,,,,,,,,,
,"71,015,444",0,"71,015,444",,,,,,,,,,,,,,,,
,"134,001,528",0,"134,001,528",,,,,,,,,,,,,,,,
,"124,115,409",0,"124,115,409",,,,,,,,,,,,,,,,
,"141,524,564",0,"141,524,564",,,,,,,,,,,,,,,,
,"131,638,445",0,"131,638,445",,,,,,,,,,,,,,,,
Thousand Uganda Shillings,2020/21 Approved Budget,,,,2021/22 Approved Estimates,,,,,,,,,,,,,,
"Sub-SubProgramme 01 Oversight, Monitoring and Evaluation & Inspectionof policies and programs",,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
,,,,,"140,507","2,513,377","2,653,884",,,,,,,,,,,,
,,,,,"43,751","501,178","544,928",,,,,,,,,,,,
,,,,,"42,783","1,427,645","1,470,427",,,,,,,,,,,,
,,,,,"53,673","2,800,123","2,853,796",,,,,,,,,,,,
,,,,,"280,713","7,242,323","7,523,036",,,,,,,,,,,,
,GoU,External Fin,AIA,Total,GoU,External Fin,Total,,,,,,,,,,,,
,,,,,"7,523,036",0,"7,523,036",,,,,,,,,,,,
,,,,,"7,523,036",0,"7,523,036",,,,,,,,,,,,
Sub-SubProgramme 02 Cabinet Support and Policy Development,,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
,,,,,"334,386","3,610,379","3,944,765",,,,,,,,,,,,
,,,,,"334,386","3,610,379","3,944,765",,,,,,,,,,,,
,GoU,External Fin,AIA,Total,GoU,External Fin,Total,,,,,,,,,,,,
,,,,,"3,944,765",0,"3,944,765",,,,,,,,,,,,
,,,,,"3,944,765",0,"3,944,765",,,,,,,,,,,,
"Sub-SubProgramme 03 Government Mobilisation, Monitoring and Awards",,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
,,,,,0,"48,666,165","48,666,165",,,,,,,,,,,,
,,,,,0,"339,000","339,000",,,,,,,,,,,,
,,,,,0,"49,005,165","49,005,165",,,,,,,,,,,,
,GoU,External Fin,AIA,Total,GoU,External Fin,Total,,,,,,,,,,,,
,,,,,"49,005,165",0,"49,005,165",,,,,,,,,,,,
,,,,,"44,215,165",0,"44,215,165",,,,,,,,,,,,
Sub-SubProgramme 04 Security Administration,,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
,,,,,0,"10,036,154","10,036,154",,,,,,,,,,,,
,,,,,0,"10,036,154","10,036,154",,,,,,,,,,,,
,GoU,External Fin,AIA,Total,GoU,External Fin,Total,,,,,,,,,,,,
,,,,,"10,036,154",0,"10,036,154",,,,,,,,,,,,
,,,,,"4,940,034",0,"4,940,034",,,,,,,,,,,,
"Sub-SubProgramme 49 General administration, Policy and planning",,,,,,,,,,,,,,,,,,,
Recurrent Budget Estimates,Wage,Non-Wage,AIA,Total,Wage,Non-Wage,Total,,,,,,,,,,,,
,,,,,"16,698,789","38,642,102","55,340,890",,,,,,,,,,,,
,,,,,"178,360",0,"178,360",,,,,,,,,,,,
,,,,,"16,877,149","38,642,102","55,519,250",,,,,,,,,,,,
Development Budget Estimates,GoU Dev't,External Fin,AIA,Total,GoU Dev't,External Fin,Total,,,,,,,,,,,,
,,,,,"15,496,194",0,"15,496,194",,,,,,,,,,,,
,,,,,"15,496,194",0,"15,496,194",,,,,,,,,,,,
,GoU,External Fin,AIA,Total,GoU,External Fin,Total,,,,,,,,,,,,
,,,,,"71,015,444",0,"71,015,444",,,,,,,,,,,,
,,,,,"71,015,444",0,"71,015,444",,,,,,,,,,,,
,,,,,"141,524,564",0,"141,524,564",,,,,,,,,,,,
,,,,,"131,638,445",0,"131,638,445",,,,,,,,,,,,
Thousand Uganda Shillings,2020/21 Approved Budget,,,,2021/22 Approved Estimates,,,,,,,,,,,,,,
,GoU,External Fin,AIA,Total,GoU,External Fin,Total,,,,,,,,,,,,
,,,,,"72,266,086",0,"72,266,086",,,,,,,,,,,,
,,,,,"16,173,889",0,"16,173,889",,,,,,,,,,,,
,,,,,"1,140,000",0,"1,140,000",,,,,,,,,,,,
,,,,,"3,015,077",0,"3,015,077",,,,,,,,,,,,
,,,,,"178,360",0,"178,360",,,,,,,,,,,,
,,,,,"5,197,273",0,"5,197,273",,,,,,,,,,,,
,,,,,"156,000",0,"156,000",,,,,,,,,,,,
,,,,,"115,000",0,"115,000",,,,,,,,,,,,
,,,,,"5,524,518",0,"5,524,518",,,,,,,,,,,,
,,,,,"605,000",0,"605,000",,,,,,,,,,,,
,,,,,"1,601,700",0,"1,601,700",,,,,,,,,,,,
,,,,,"1,754,016",0,"1,754,016",,,,,,,,,,,,
,,,,,"200,957",0,"200,957",,,,,,,,,,,,
,,,,,"29,260",0,"29,260",,,,,,,,,,,,
,,,,,"162,178",0,"162,178",,,,,,,,,,,,
