Vote,Sector,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Approved Budget (% of GDP),Actual Expenditure (% of GDP),Performance (%),Deviation (UGX),Execution Status,Nominal GDP (UGX Trillions),Subprogram,Source File,Imputed,Actual Expenditure (UGX) - Original,Released Budget (UGX) - Original,Execution_Rate,Absorption_Rate
10,Agriculture,19/20,122.6,104210000.0,109114000.0,9.37e-05,8.342048929663608e-05,89.0,13486000.0,Satisfactorily Spent,130.8,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,19/20,122.6,104210000.0,109114000.0,9.37e-05,8.342048929663608e-05,89.0,13486000.0,Satisfactorily Spent,130.8,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,19/20,122.6,104210000.0,109114000.0,9.37e-05,8.342048929663608e-05,89.0,13486000.0,Satisfactorily Spent,130.8,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0470588235294118
13,Education,19/20,1100.86,968756800.0,1001782600.0,0.000841636,0.0007658888379204891,91.0,99077400.0,Satisfactorily Spent,130.8,Programme : 81 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0340909090909092
13,Education,19/20,1100.86,968756800.0,1001782600.0,0.000841636,0.0007658888379204891,91.0,99077400.0,Satisfactorily Spent,130.8,Programme : 81 Pre-Primary and Primary Education,ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0340909090909092
13,Education,19/20,552.21,485944800.0,502511100.0,0.000422179,0.0003841827981651376,91.0,49698900.0,Satisfactorily Spent,130.8,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0340909090909092
14,Health,19/20,552.21,496989000.0,513555300.0,0.000422179,0.0003926263761467889,93.0,38654700.0,Satisfactorily Spent,130.8,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0333333333333334
10,Agriculture,19/20,270.18,229653000.0,240460200.0,0.00020656,0.0001838380733944954,89.0,29719800.0,Satisfactorily Spent,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,19/20,270.18,229653000.0,240460200.0,0.00020656,0.0001838380733944954,89.0,29719800.0,Satisfactorily Spent,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0470588235294118
10,Agriculture,19/20,270.18,229653000.0,240460200.0,0.00020656,0.0001838380733944954,89.0,29719800.0,Satisfactorily Spent,130.8,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",ABPR%20FY%202019-20.pdf,Yes,,,1.2,1.0470588235294118
