Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status,Source File
10,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",2019-20,122.6,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",2019-20,122.6,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",2019-20,122.6,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme : 81 Pre-Primary and Primary Education,2019-20,1100.86,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme : 81 Pre-Primary and Primary Education,2019-20,1100.86,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",2019-20,552.21,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",2019-20,552.21,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2019-20,270.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2019-20,270.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2019-20,270.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2019-20,270.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",2019-20,270.18,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",2019-20,0.34,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",2019-20,0.34,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",2019-20,0.34,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",2019-20,0.34,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",2019-20,0.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",2019-20,0.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",2019-20,0.18,,,,,,ABPR%20FY%202019-20.pdf
14,Health,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",2019-20,0.31,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",2019-20,0.31,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",2019-20,3.86,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",2019-20,3.86,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services
1362 Agro-Economic Impact Deepening in the Albertine
Basin",2019-20,0.79,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services
1362 Agro-Economic Impact Deepening in the Albertine
Basin",2019-20,0.79,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,Programme 0104 Fisheries Resources,2019-20,18.58,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"09 Fisheries Resources Department
16 Directorate of Fisheries Resources
18 Department of Aquaculture Management and
Development
19 Department of Fisheries Control, Regulation and Quality
Assurance",2019-20,0.61,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"1365 Support to Sustainable Fisheries Development Project
1494 Promoting commercial aquaculture in Uganda Project",2019-20,8.24,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2019-20,48.44,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2019-20,48.44,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",2019-20,48.44,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",2019-20,0.78,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",2019-20,0.78,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies",2019-20,1.82,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies",2019-20,1.82,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"01 Headquarters
10 Department of Planning
13 Internal Audit
22 Agricultural Statistical Unit
25 Human Resource Management Department",2019-20,4.93,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",2019-20,10.47,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",2019-20,10.47,,,,,,ABPR%20FY%202019-20.pdf
