Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status,Source File
010,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",Unknown,122.6,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",Unknown,122.6,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263314 Conditional transfers for Agric Extension
263348 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",Unknown,122.6,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme : 81 Pre-Primary and Primary Education,Unknown,1100.86,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme : 81 Pre-Primary and Primary Education,Unknown,1100.86,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",Unknown,552.21,,,,,,ABPR%20FY%202019-20.pdf
014,Health,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1385 HEALTH DEVELOPMENT
321431 Conditional transfers to PHC - development
321472 Transitional Development Grant",Unknown,552.21,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",Unknown,270.18,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",Unknown,270.18,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",Unknown,270.18,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",Unknown,270.18,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",Unknown,270.18,,,,,,ABPR%20FY%202019-20.pdf
014,Health,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",Unknown,0.34,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",Unknown,0.34,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",Unknown,0.34,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"02 Directorate of Crop Resources
04 Crop Protection Department
05 Crop Production Department
14 Department of Crop Regulation and Certification
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project
1508 National Oil Palm Project",Unknown,0.34,,,,,,ABPR%20FY%202019-20.pdf
014,Health,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",Unknown,0.18,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",Unknown,0.18,,,,,,ABPR%20FY%202019-20.pdf
