Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
13,Education,"Pre-Primary and Primary
Education",14/15,62.01,57.14,Annual%20Budget%20Performance%20Report%20FY%202014-15.pdf
13,Education,Secondary Education,14/15,107.47,51.36,Annual%20Budget%20Performance%20Report%20FY%202014-15.pdf
13,Education,"Special Needs Education,
Guidance and
Counselling",14/15,4.12,3.71,Annual%20Budget%20Performance%20Report%20FY%202014-15.pdf
13,Education,Higher education,14/15,55.44,29.02,Annual%20Budget%20Performance%20Report%20FY%202014-15.pdf
13,Education,"Phyisical Education and
Sports",14/15,6.97,7.21,Annual%20Budget%20Performance%20Report%20FY%202014-15.pdf
13,Education,"Pre-Primary and Primary
Education",15/16,117.64,83.98,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
13,Education,Secondary Education,15/16,11.56,9.67,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
13,Education,"Special Needs Education,",15/16,3.18,3.09,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
13,Education,Higher Education,15/16,46.83,66.47,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
13,Education,"Phyisical Education and
Sports",15/16,12.1,11.37,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
13,Education,13,15/16,35633458,1959013,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
14,Health,14,15/16,1100000,1100000,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
13,Education,132,15/16,530180,208409,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
10,Agric,,15/16,903,154,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
10,Agric,,15/16,903,154,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
10,Agric,,15/16,903,154,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
10,Agric,,15/16,903,154,Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf
