Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status
010,Agriculture,"312204 Taxes on Machinery, Furniture & Vehicles 6.83 224002 General Supply of Goods and Services
211102 Contract Staff Salaries (Incl. Casuals, Temporary) 0.07 211102 Contract Staff Salaries (Incl. Casuals, Temporary)
227004 Fuel, Lubricants and Oils 0.05 311101 Land
225001 Consultancy Services- Short-term 0.03 264101 Contributions to Autonomous Inst.
221002 Workshops and Seminars 0.02 224001 Medical and Agricultural supplies
211103 Allowances 0.02 211103 Allowances
227002 Travel Abroad 0.01 227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles 0.01 312204 Taxes on Machinery, Furniture & Vehicles
221011 Printing, Stationery, Photocopying and Binding 0.01 221003 Staff Training
312201 Transport Equipment
264102 Contributions to Autonomous Inst. Wage Subvent
221002 Workshops and Seminars
211101 General Staff Salaries
227001 Travel Inland
225001 Consultancy Services- Short-term
312101 Non-Residential Buildings
228002 Maintenance - Vehicles
221011 Printing, Stationery, Photocopying and Binding
312104 Other Structures
221001 Advertising and Public Relations",Unknown,46.1,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services
321429 NAADS
VF:0182 District Production Services
321415 PMA non sectoral condition grant",Unknown,117.24,,,,,
014,Health,321432 Health Training Schools,Unknown,1.89,,,,,
010,Agriculture,"224001 Medical and Agricultural supplies 21.41 224001 Medical and Agricultural supplies
312202 Machinery and Equipment 0.51 211101 General Staff Salaries
312101 Non-Residential Buildings 0.41 312101 Non-Residential Buildings
312204 Taxes on Machinery, Furniture & Vehicles 0.34 312202 Machinery and Equipment
224002 General Supply of Goods and Services 0.26 224002 General Supply of Goods and Services
312103 Roads and Bridges 0.15 227001 Travel Inland
312203 Furniture and Fixtures 0.04 211103 Allowances
221011 Printing, Stationery, Photocopying and Binding 0.02 312102 Residential Buildings
211103 Allowances 0.01 223005 Electricity
228001 Maintenance - Civil 0.01 227004 Fuel, Lubricants and Oils
227001 Travel Inland 0.01 221002 Workshops and Seminars
221003 Staff Training 0.01 221011 Printing, Stationery, Photocopying and Binding
221001 Advertising and Public Relations 0.01 264102 Contributions to Autonomous Inst. Wage Subvent
223007 Other Utilities- (fuel, gas, f 0.01 312204 Taxes on Machinery, Furniture & Vehicles
312201 Transport Equipment
228002 Maintenance - Vehicles
263106 Other Current grants(current)
223006 Water
312104 Other Structures
228003 Maintenance Machinery, Equipment and Furnitur",Unknown,84.19,,,,,
014,Health,"VF:0881 Primary Healthcare
321407 District PHC wage
321413 District PHC non-wage
321417 District Hospital
321418 District NGO
321421 PHC NGO Wage Subvention
321431 District PHC Dev't",Unknown,192.9,,,,,
010,Agriculture,"223005 Electricity 0.06 211101 General Staff Salaries
221011 Printing, Stationery, Photocopying and Binding 0.05 224003 Classified Expenditure
221009 Welfare and Entertainment 0.05 225001 Consultancy Services- Short-term
221014 Bank Charges and other Bank related costs 0.05 221009 Welfare and Entertainment
312204 Taxes on Machinery, Furniture & Vehicles 0.04 312101 Non-Residential Buildings
224001 Medical and Agricultural supplies 0.03 221011 Printing, Stationery, Photocopying and Binding
227004 Fuel, Lubricants and Oils 0.02 228002 Maintenance - Vehicles
228001 Maintenance - Civil 0.01 227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles 0.01 221003 Staff Training
223005 Electricity
211103 Allowances
227001 Travel Inland
312204 Taxes on Machinery, Furniture & Vehicles
312201 Transport Equipment
223006 Water
224001 Medical and Agricultural supplies
227002 Travel Abroad
222001 Telecommunications
312202 Machinery and Equipment
227003 Carriage, Haulage, Freight and Transport Hire",Unknown,229.66,,,,,
010,Agriculture,"VF:0102 Animal Resources
Class:Outputs Provided
010201 Policies, laws, guidelines, plans and strategies
010202 Improved access to water for livestock
010203 Promotion of Animals and Animal Products
010204 Promotion of sustainable fisheries
010205 Vector and disease control measures
010206 Improved market access for livestock and livestock products
Class:Outputs Funded
010252 Animal breeding and genetic development (NAGRIC)
010253 Dairy Development and Regulation (DDA)
010254 Control of Tryptanomiasis and Sleeping Sickness (COCTU)
Class:Capital Purchases
010272 Government Buildings and Administrative Infrastructure
010275 Purchase of Motor Vehicles and Other Transport Equipment
010277 Purchase of Specialised Machinery & Equipment",Unknown,17.05,,,,,
010,Agriculture,"Output Class: Outputs Provided
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
213001 Medical Expenses(To Employees)
213002 Incapacity, death benefits and funeral expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector etc)
221006 Commissions and Related Charges
221007 Books, Periodicals and Newspapers
221008 Computer Supplies and IT Services
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent Costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
223003 Rent - Produced Assets to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical and Agricultural supplies
224002 General Supply of Goods and Services
227001 Travel Inland
227002 Travel Abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance Machinery, Equipment and Furniture
Output Class: Outputs Funded
263104 Transfers to other gov't units(current)
263340 Other grants
264101 Contributions to Autonomous Inst.
264102 Contributions to Autonomous Inst. Wage Subventio
Output Class: Capital Purchases
311101 Land
312101 Non-Residential Buildings
312104 Other Structures
312201 Transport Equipment
312202 Machinery and Equipment",Unknown,18.5,,,,,
010,Agriculture,VF:0151 Agricultural Research,Unknown,23.47,,,,,
010,Agriculture,VF:0154 Agriculture Advisory Services,Unknown,17.0,,,,,
010,Agriculture,"VF:0182 District Production Services
VF:0181 Agriculture Advisory Services",Unknown,5.05,,,,,
010,Agriculture,"VF:0181 Agriculture Advisory Services
Class:Outputs Provided
018100 Agricultural Advisory Services",Unknown,117.24,,,,,
